play_id,player_id,category_id,game_name,played_at,amount_bet,amount_won
T00000001,P0001,C1,Poker,2023-08-23 23:15:00,875.00,0.00
T00000002,P0001,C7,Roulette,2023-08-23 23:17:00,360.00,901.84
T00000003,P0001,C5,Craps,2023-08-23 23:22:00,1550.00,0.00
T00000004,P0001,C4,$25 Slots,2023-08-23 23:26:00,375.00,0.00
T00000005,P0001,C2,Blackjack,2023-08-23 23:29:00,1800.00,4980.14
T00000006,P0001,C5,Craps,2023-08-23 23:31:00,1250.00,1230.04
T00000007,P0001,C2,Blackjack,2023-08-23 23:36:00,1650.00,274.79
T00000008,P0001,C5,Craps,2023-08-23 23:40:00,1200.00,0.00
T00000009,P0001,C6,Electronic Games,2023-08-23 23:44:00,115.00,3.68
T00000010,P0001,C7,Roulette,2023-08-23 23:46:00,640.00,0.00
T00000011,P0001,C5,Craps,2023-08-23 23:52:00,1350.00,0.00
T00000012,P0001,C1,Poker,2023-08-23 23:55:00,825.00,4.21
T00000013,P0001,C1,Poker,2023-08-23 23:58:00,975.00,0.00
T00000014,P0001,C2,Blackjack,2023-08-24 00:02:00,425.00,0.00
T00000015,P0001,C1,Poker,2023-08-24 00:08:00,1800.00,0.00
T00000016,P0001,C7,Roulette,2023-08-24 00:14:00,695.00,0.00
T00000017,P0001,C4,$25 Slots,2023-08-24 00:17:00,450.00,239.75
T00000018,P0001,C4,$25 Slots,2023-08-24 00:22:00,175.00,0.00
T00000019,P0001,C2,Blackjack,2023-08-24 00:25:00,1475.00,5101.85
T00000020,P0001,C6,Electronic Games,2023-08-24 00:27:00,145.00,0.00
T00000021,P0001,C7,Roulette,2023-08-24 00:30:00,770.00,3099.14
T00000022,P0001,C2,Blackjack,2023-08-24 00:34:00,1400.00,99.66
T00000023,P0001,C5,Craps,2023-08-24 00:40:00,1100.00,0.00
T00000024,P0001,C1,Poker,2023-08-24 00:44:00,1450.00,1138.72
T00000025,P0001,C1,Poker,2023-08-24 00:46:00,775.00,1097.27
T00000026,P0001,C2,Blackjack,2023-08-24 00:52:00,1000.00,1877.92
T00000027,P0001,C7,Roulette,2023-08-24 00:56:00,780.00,648.87
T00000028,P0001,C5,Craps,2023-08-24 01:01:00,1625.00,359.67
T00000029,P0001,C2,Blackjack,2023-08-24 01:05:00,925.00,0.00
T00000030,P0001,C6,Electronic Games,2023-08-24 01:11:00,90.00,295.05
T00000031,P0001,C7,Roulette,2023-08-24 01:17:00,705.00,0.00
T00000032,P0001,C4,$25 Slots,2023-08-24 01:22:00,425.00,50.99
T00000033,P0001,C2,Blackjack,2023-08-24 01:27:00,1600.00,6840.02
T00000034,P0001,C4,$25 Slots,2023-08-24 01:29:00,350.00,129.75
T00000035,P0001,C6,Electronic Games,2023-08-24 01:33:00,295.00,544.91
T00000036,P0001,C7,Roulette,2023-09-30 18:58:00,455.00,0.00
T00000037,P0001,C7,Roulette,2023-09-30 19:04:00,580.00,0.00
T00000038,P0001,C7,Roulette,2023-09-30 19:07:00,740.00,0.00
T00000039,P0001,C3,$1 Slots,2023-09-30 19:11:00,14.00,17.95
T00000040,P0001,C4,$25 Slots,2023-09-30 19:14:00,175.00,0.00
T00000041,P0001,C1,Poker,2023-09-30 19:18:00,450.00,1143.87
T00000042,P0001,C4,$25 Slots,2023-09-30 19:20:00,200.00,27.71
T00000043,P0001,C7,Roulette,2023-09-30 19:23:00,575.00,1807.64
T00000044,P0001,C7,Roulette,2023-09-30 19:27:00,575.00,57.44
T00000045,P0001,C3,$1 Slots,2023-09-30 19:30:00,21.00,0.00
T00000046,P0001,C3,$1 Slots,2023-09-30 19:32:00,24.00,0.00
T00000047,P0001,C3,$1 Slots,2023-09-30 19:38:00,35.00,0.00
T00000048,P0001,C7,Roulette,2023-09-30 19:43:00,565.00,305.87
T00000049,P0001,C7,Roulette,2023-09-30 19:45:00,505.00,196.72
T00000050,P0001,C2,Blackjack,2023-09-30 19:51:00,1650.00,0.00
T00000051,P0001,C5,Craps,2023-09-30 19:54:00,1125.00,0.00
T00000052,P0001,C7,Roulette,2023-09-30 19:57:00,1665.00,0.00
T00000053,P0001,C2,Blackjack,2023-09-30 20:02:00,1125.00,5190.84
T00000054,P0001,C7,Roulette,2023-09-30 20:07:00,405.00,0.00
T00000055,P0001,C4,$25 Slots,2023-09-30 20:11:00,400.00,521.10
T00000056,P0001,C3,$1 Slots,2023-09-30 20:15:00,51.00,0.00
T00000057,P0001,C6,Electronic Games,2023-09-30 20:19:00,120.00,221.92
T00000058,P0001,C7,Roulette,2023-09-30 20:25:00,695.00,2676.43
T00000059,P0001,C7,Roulette,2023-09-30 20:27:00,675.00,0.00
T00000060,P0001,C7,Roulette,2023-09-30 20:30:00,705.00,1816.65
T00000061,P0001,C2,Blackjack,2023-09-30 20:34:00,2000.00,3910.63
T00000062,P0001,C7,Roulette,2023-09-30 20:38:00,490.00,39.23
T00000063,P0001,C1,Poker,2023-09-30 20:43:00,1600.00,2.71
T00000064,P0001,C2,Blackjack,2023-09-30 20:46:00,475.00,1566.81
T00000065,P0001,C6,Electronic Games,2023-09-30 20:52:00,95.00,411.70
T00000066,P0001,C1,Poker,2023-09-30 20:55:00,650.00,0.00
T00000067,P0001,C7,Roulette,2023-09-30 20:58:00,430.00,0.00
T00000068,P0001,C5,Craps,2023-09-30 21:01:00,375.00,63.77
T00000069,P0001,C7,Roulette,2023-09-30 21:04:00,590.00,715.29
T00000070,P0001,C2,Blackjack,2023-09-30 21:10:00,1075.00,0.00
T00000071,P0001,C4,$25 Slots,2023-11-28 18:10:00,425.00,0.00
T00000072,P0001,C7,Roulette,2023-11-28 18:16:00,525.00,14.16
T00000073,P0001,C5,Craps,2023-11-28 18:22:00,1025.00,0.00
T00000074,P0001,C2,Blackjack,2023-11-28 18:27:00,1475.00,0.00
T00000075,P0001,C7,Roulette,2023-11-28 18:29:00,535.00,0.00
T00000076,P0001,C2,Blackjack,2023-11-28 18:32:00,575.00,223.11
T00000077,P0001,C1,Poker,2023-11-28 18:34:00,1075.00,0.00
T00000078,P0001,C1,Poker,2023-11-28 18:37:00,1000.00,0.00
T00000079,P0001,C5,Craps,2023-11-28 18:40:00,600.00,0.00
T00000080,P0001,C2,Blackjack,2023-11-28 18:46:00,1550.00,609.95
T00000081,P0001,C5,Craps,2023-11-28 18:48:00,1125.00,33.70
T00000082,P0001,C2,Blackjack,2023-11-28 18:50:00,1075.00,3903.83
T00000083,P0001,C6,Electronic Games,2023-11-28 18:56:00,320.00,4.70
T00000084,P0001,C3,$1 Slots,2023-11-28 19:02:00,9.00,0.00
T00000085,P0001,C7,Roulette,2023-11-28 19:08:00,1235.00,1031.10
T00000086,P0001,C2,Blackjack,2023-11-28 19:12:00,950.00,0.00
T00000087,P0001,C1,Poker,2023-11-28 19:18:00,2475.00,0.00
T00000088,P0001,C7,Roulette,2023-11-28 19:21:00,360.00,1420.68
T00000089,P0001,C1,Poker,2023-11-28 19:23:00,1600.00,372.02
T00000090,P0001,C5,Craps,2023-11-28 19:29:00,850.00,1023.03
T00000091,P0001,C4,$25 Slots,2023-11-28 19:34:00,175.00,3.87
T00000092,P0001,C7,Roulette,2023-11-28 19:38:00,770.00,1497.61
T00000093,P0001,C1,Poker,2023-11-28 19:42:00,2400.00,550.93
T00000094,P0001,C1,Poker,2023-11-28 19:45:00,1575.00,3309.66
T00000095,P0001,C6,Electronic Games,2023-11-28 19:47:00,115.00,0.00
T00000096,P0001,C5,Craps,2023-11-28 19:52:00,750.00,0.00
T00000097,P0001,C4,$25 Slots,2023-11-28 19:55:00,350.00,43.25
T00000098,P0001,C2,Blackjack,2023-11-28 19:57:00,1450.00,503.60
T00000099,P0001,C2,Blackjack,2023-11-28 20:03:00,1250.00,2011.50
T00000100,P0001,C7,Roulette,2023-11-28 20:09:00,860.00,0.00
T00000101,P0001,C7,Roulette,2023-11-28 20:11:00,435.00,0.00
T00000102,P0001,C7,Roulette,2023-11-28 20:14:00,680.00,0.00
T00000103,P0001,C7,Roulette,2023-11-28 20:19:00,545.00,2228.31
T00000104,P0001,C1,Poker,2023-11-28 20:23:00,1125.00,0.00
T00000105,P0001,C1,Poker,2023-11-28 20:26:00,1000.00,0.00
T00000106,P0001,C5,Craps,2024-01-11 23:34:00,625.00,0.00
T00000107,P0001,C2,Blackjack,2024-01-11 23:39:00,500.00,466.00
T00000108,P0001,C7,Roulette,2024-01-11 23:43:00,340.00,0.00
T00000109,P0001,C3,$1 Slots,2024-01-11 23:47:00,41.00,16.46
T00000110,P0001,C2,Blackjack,2024-01-11 23:52:00,775.00,0.00
T00000111,P0001,C7,Roulette,2024-01-11 23:55:00,665.00,0.00
T00000112,P0001,C7,Roulette,2024-01-12 00:01:00,1840.00,3068.91
T00000113,P0001,C5,Craps,2024-01-12 00:06:00,675.00,21.91
T00000114,P0001,C7,Roulette,2024-01-12 00:10:00,1170.00,0.00
T00000115,P0001,C5,Craps,2024-01-12 00:15:00,650.00,2585.90
T00000116,P0001,C7,Roulette,2024-01-12 00:20:00,490.00,0.00
T00000117,P0001,C7,Roulette,2024-01-12 00:26:00,625.00,0.00
T00000118,P0001,C2,Blackjack,2024-01-12 00:30:00,2575.00,0.00
T00000119,P0001,C5,Craps,2024-01-12 00:35:00,1225.00,1331.40
T00000120,P0001,C5,Craps,2024-01-12 00:39:00,700.00,588.12
T00000121,P0001,C1,Poker,2024-01-12 00:42:00,1975.00,0.00
T00000122,P0001,C5,Craps,2024-01-12 00:46:00,1375.00,0.00
T00000123,P0001,C4,$25 Slots,2024-01-12 00:49:00,100.00,26.81
T00000124,P0001,C7,Roulette,2024-01-12 00:54:00,775.00,0.00
T00000125,P0001,C6,Electronic Games,2024-01-12 01:00:00,120.00,441.08
T00000126,P0001,C7,Roulette,2024-01-12 01:05:00,1330.00,5254.99
T00000127,P0001,C2,Blackjack,2024-01-12 01:09:00,1825.00,1329.23
T00000128,P0001,C2,Blackjack,2024-01-12 01:13:00,775.00,0.00
T00000129,P0001,C6,Electronic Games,2024-01-12 01:16:00,150.00,355.57
T00000130,P0001,C2,Blackjack,2024-01-12 01:21:00,1075.00,4491.15
T00000131,P0001,C1,Poker,2024-01-12 01:27:00,1325.00,2505.90
T00000132,P0001,C2,Blackjack,2024-01-12 01:29:00,750.00,0.00
T00000133,P0001,C3,$1 Slots,2024-01-12 01:32:00,46.00,0.00
T00000134,P0001,C6,Electronic Games,2024-01-12 01:36:00,150.00,247.94
T00000135,P0001,C1,Poker,2024-01-12 01:39:00,975.00,0.00
T00000136,P0001,C1,Poker,2024-01-12 01:41:00,825.00,0.00
T00000137,P0001,C5,Craps,2024-01-12 01:43:00,1275.00,0.00
T00000138,P0001,C2,Blackjack,2024-01-12 01:45:00,775.00,0.00
T00000139,P0001,C2,Blackjack,2024-01-12 01:50:00,900.00,1558.63
T00000140,P0001,C6,Electronic Games,2024-01-12 01:54:00,125.00,398.65
T00000141,P0001,C4,$25 Slots,2024-02-11 23:58:00,125.00,172.24
T00000142,P0001,C7,Roulette,2024-02-12 00:00:00,1650.00,4765.57
T00000143,P0001,C2,Blackjack,2024-02-12 00:02:00,1050.00,0.00
T00000144,P0001,C2,Blackjack,2024-02-12 00:08:00,2950.00,4964.34
T00000145,P0001,C5,Craps,2024-02-12 00:11:00,1600.00,1067.91
T00000146,P0001,C5,Craps,2024-02-12 00:16:00,350.00,0.00
T00000147,P0001,C3,$1 Slots,2024-02-12 00:18:00,13.00,0.00
T00000148,P0001,C7,Roulette,2024-02-12 00:23:00,760.00,266.67
T00000149,P0001,C4,$25 Slots,2024-02-12 00:29:00,625.00,0.00
T00000150,P0001,C5,Craps,2024-02-12 00:34:00,975.00,3843.33
T00000151,P0001,C7,Roulette,2024-02-12 00:37:00,600.00,237.71
T00000152,P0001,C7,Roulette,2024-02-12 00:40:00,845.00,0.00
T00000153,P0001,C2,Blackjack,2024-02-12 00:43:00,1550.00,1278.35
T00000154,P0001,C6,Electronic Games,2024-02-12 00:49:00,120.00,108.88
T00000155,P0001,C1,Poker,2024-02-12 00:52:00,875.00,1614.20
T00000156,P0001,C7,Roulette,2024-02-12 00:56:00,395.00,0.00
T00000157,P0001,C6,Electronic Games,2024-02-12 00:58:00,80.00,6.72
T00000158,P0001,C5,Craps,2024-02-12 01:01:00,1200.00,0.00
T00000159,P0001,C1,Poker,2024-02-12 01:05:00,1550.00,0.00
T00000160,P0001,C5,Craps,2024-02-12 01:09:00,400.00,1017.77
T00000161,P0001,C4,$25 Slots,2024-02-12 01:13:00,250.00,72.39
T00000162,P0001,C7,Roulette,2024-02-12 01:16:00,655.00,0.00
